"Customer_ID","EstimatedChurnProbability"
1000001,0.715289335191218
1000002,0.327257853723693
1000003,0.71664428040416
1000005,0.297718254026822
1000007,0.849901813183071
1000008,0.248122006492529
1000012,0.361456966664034
1000013,0.33358769060375
1000016,0.402432907148
1000019,0.28580585088169
1000020,0.191408947624064
1000021,0.609888448374459
1000022,0.670808697172279
1000024,0.666212660904181
1000026,0.257571573968062
1000027,0.542397286590005
1000028,0.496523251162216
1000030,0.451786303126543
1000031,0.675516063768013
1000032,0.65744797034427
1000035,0.520736645108864
1000036,0.266392328163505
1000037,0.279109666522683
1000041,0.240317601149902
1000042,0.41044578613934
1000043,0.435868343564316
1000044,0.49084283374246
1000046,0.501098270559182
1000047,0.676335018731032
1000048,0.614836132748789
1000049,0.647149508196332
1000052,0.48873998256046
1000053,0.509977937682213
1000054,0.248809530043713
1000056,0.745536237970794
1000057,0.545581704131096
1000059,0.657136546594524
1000061,0.776644468374297
1000062,0.430595754448271
1000063,0.287893189039304
1000065,0.184582461165751
1000066,0.536272955494361
1000067,0.43566576788724
1000069,0.457897982473115
1000070,0.654591919712179
1000071,0.247277108131547
1000072,0.379772004561553
1000074,0.224404686542849
1000076,0.322245298826966
1000077,0.774213021993006
1000080,0.415583783643909
1000082,0.853448913548861
1000083,0.157507447259379
1000084,0.27030057468977
1000085,0.187425310249305
1000087,0.187386424486324
1000091,0.728347411823543
1000092,0.441538342204127
1000096,0.328367288653697
1000101,0.448351050345609
1000102,0.184782979856676
1000103,0.546896697665964
1000104,0.334495153532054
1000106,0.406355819129182
1000108,0.431030027583166
1000109,0.252386624140815
1000113,0.564096471131579
1000114,0.534115486533257
1000118,0.164989660558142
1000120,0.338937144729749
1000121,0.603979869124167
1000123,0.462747426553038
1000124,0.429316538410574
1000125,0.581126117401881
1000126,0.298226509799684
1000128,0.231073585914334
1000129,0.172699759953119
1000133,0.20554372817104
1000136,0.264065723696744
1000137,0.19023733533031
1000138,0.552215290632171
1000139,0.17287249906428
1000141,0.52195505424703
1000142,0.294482066194267
1000143,0.20221936666646
1000144,0.711794598024719
1000146,0.458730072953618
1000153,0.325017355366543
1000156,0.25163907237828
1000157,0.347545932248163
1000158,0.352522742250678
1000159,0.714578300704527
1000162,0.239888358284014
1000163,0.734727937792708
1000168,0.534537654805835
1000169,0.225795345914793
1000175,0.425765318891269
1000176,0.285348183070878
1000177,0.396032207288826
1000178,0.580455525767814
1000179,0.203503299854537
1000181,0.3858848864876
1000185,0.357979077637533
1000188,0.743511975772291
1000189,0.179413363749712
1000192,0.624046740234384
1000194,0.60070433387898
1000195,0.754461150843397
1000196,0.489959852574688
1000198,0.593410099434975
1000200,0.222080432737014
1000201,0.773750427522335
1000203,0.721430278901478
1000204,0.358470666778717
1000206,0.610666651250067
1000208,0.686561347403719
1000209,0.605495088323303
1000211,0.184001468129944
1000217,0.451426785611462
1000219,0.513691888141954
1000222,0.195622022667313
1000223,0.691463779837362
